Date,Close,High,Low,Open,Volume
,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
2015-02-16,56.035701751708984,56.64099622800526,55.760567446513974,55.760567446513974,3789682
2015-02-18,56.76939392089844,56.86110535707599,55.48543381441266,55.79725369254912,4034642
2015-02-19,56.60430908203125,56.8794433795619,55.44874602753525,56.78773194705168,2708022
2015-02-20,56.2191162109375,56.78772503300585,55.870610819564604,56.45756491129961,4586215
2015-02-23,57.19126510620117,57.77821928849845,55.94399057860934,56.12741344959825,5857600
2015-02-24,57.50307846069336,57.85157889065118,57.06286162997865,57.19125862024238,3786009
2015-02-25,56.696006774902344,57.869914816815175,55.9806607600769,57.814888965776674,3842514
2015-02-26,56.035701751708984,57.393028005272775,55.32035056793644,56.53094449619277,7368101
2015-02-27,57.63147735595703,57.77821464582456,55.79724879345435,56.10906366854908,4870174
2015-03-02,57.48472595214844,58.32847394216812,57.007828591974906,57.869916874438715,3288237
2015-03-03,57.06284713745117,57.37466689870777,56.54926428249664,57.30129578700199,3773373
2015-03-04,56.65933609008789,57.72319270921155,56.164098325067144,57.28297583401116,4927543
2015-03-05,56.9161262512207,57.282971963881764,55.61382596153932,56.494254676793176,2511965
2015-03-09,55.36480712890625,56.875594469612224,55.162137669776726,56.48868277375979,2904210
2015-03-10,54.71995544433594,55.40165267175055,54.05668044013922,55.36480322742459,4007085
2015-03-11,54.49885940551758,55.272677682742554,54.33303941829444,55.05158603240831,3350372
2015-03-12,55.14371109008789,56.15704331203235,54.55413497956037,54.55413497956037,4034334
2015-03-13,54.019832611083984,55.42007655210847,53.798745934297784,55.36480488291192,3743353
2015-03-16,54.07512283325195,54.42518015783964,53.63293937305618,53.63293937305618,1546607
2015-03-17,54.40676498413086,54.90422019188095,53.81718862671934,54.2040954561404,4288235
2015-03-18,54.03826904296875,54.627845276629486,53.761905651992585,54.351481885653314,3493449
2015-03-19,53.83559036254883,54.996320404712215,53.43026145665912,54.038259813384016,2641643
2015-03-20,54.60940933227539,55.217412693655234,53.282864267822696,53.798746513586245,3763675
2015-03-23,54.977901458740234,55.972811645244285,54.73838752432736,55.08844981162462,4249360
2015-03-24,54.51729202270508,55.58590103676978,54.35147700175385,54.90420373403943,5170910
2015-03-25,53.98298645019531,54.738377566983786,53.87243811742054,54.44359200869808,6008163
2015-03-26,53.46711730957031,55.08845327054725,53.08021054490937,54.130392474849444,11848617
2015-03-27,53.338134765625,53.780313070700075,52.76698091613788,53.467100314257436,3479176
2015-03-30,53.43025588989258,53.65134254356511,52.9143737036172,53.448678111735354,4359504
2015-03-31,53.52238845825195,53.96456685819209,53.24602508408029,53.61450958297584,4797950
2015-04-01,53.964569091796875,54.11196189787754,53.467113998119935,53.467113998119935,2808077
2015-04-06,54.51729202270508,55.070018754990656,53.74347359792713,53.94614306516628,5315447
2015-04-07,54.51729202270508,54.60941314475268,53.79875026946827,54.240928656562296,2457023
2015-04-08,54.27777099609375,55.19898209591689,54.167227663271,54.36989210607606,4009038
2015-04-09,55.64115905761719,55.862250695859785,54.314614226051106,54.36988588613938,2422269
2015-04-10,56.26759338378906,56.396563954330524,55.38323161104735,55.82541499636358,2200148
2015-04-13,56.8755989074707,57.373048987124896,55.54905369998069,56.304444930329666,2208671
2015-04-15,55.84383773803711,57.4835957260332,55.64117326666266,57.09668401083091,2330815
2015-04-16,55.53062057495117,56.10177449139624,54.35147329195983,55.69644058247499,2492100
2015-04-17,55.30952835083008,55.8622549899798,54.94103892684037,55.53061500817805,3666806
2015-04-20,55.19898986816406,56.23074944397607,54.77523370215681,55.346382665311275,2278982
2015-04-21,54.84891891479492,56.00964887848297,54.57255558970538,55.27268001157754,2312891
2015-04-22,54.1856575012207,55.10686873050844,54.019837480792596,54.904204259221444,4849646
2015-04-23,54.03826904296875,54.885781442805865,53.761905651992585,54.53572414630409,3515131
2015-04-24,53.74347686767578,54.51729533953279,53.08020674773609,53.79875354257996,2613457
2015-04-27,53.41183090209961,54.44359031987507,53.24601590491625,53.83558700319935,2052351
2015-04-28,53.22758865356445,53.98298474437315,52.877531438898,53.1723169878687,3429520
2015-04-29,52.711708068847656,53.35655578908594,52.50904364164294,53.19073580472593,2061972
2015-04-30,52.39851379394531,53.35657460138165,51.735243618430935,52.36166434021863,4099911
2015-05-04,53.11704635620117,53.28286135651635,51.95631636454435,52.693290247097785,3652050
2015-05-05,52.74857711791992,54.03827303781781,52.15900084067401,52.71172766348739,7999174
