Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2011-06-20,34.29570007324219,34.8843951194145,33.320146913638766,34.329338421362735,6194464
2011-06-21,34.09385299682617,34.463890710193475,33.77427621601193,34.245231231807786,5126564
2011-06-22,34.41342544555664,34.44706606302388,33.99292913390863,34.093848704971855,2408781
2011-06-23,34.39661407470703,34.581630662566376,34.2452335481473,34.329332826752065,3746535
2011-06-24,34.86756896972656,35.03576752619982,34.24523339823993,34.31251464590038,5675164
2011-06-27,36.44863510131836,36.78503219465871,34.39661191940666,34.39661191940666,29869389
2011-06-28,36.700923919677734,36.97003970327288,36.36452690884556,36.801841197856795,13872282
2011-06-29,37.037322998046875,37.171880897355884,36.63364473744313,36.7682049180905,13356359
2011-06-30,36.83549118041992,37.50828537320649,36.347715846917424,37.003689728616564,30432762
2011-07-01,37.08778762817383,37.25598617013672,36.80184919430141,37.00368835719238,23953730
2011-07-04,37.15506362915039,37.47464037715666,36.902765836302514,37.121425292240474,5307022
2011-07-05,36.86913299560547,37.12143082606428,36.330896711424444,37.003690925981275,10665833
2011-07-06,36.684112548828125,36.9027697465969,36.515914002440205,36.751391511115536,3270036
2011-07-07,36.98686599731445,37.1046058827001,36.482270399385015,36.835487774203344,5856910
2011-07-08,36.73457336425781,37.25598934504495,36.616835743653574,36.75139367615525,12625687
2011-07-11,36.330894470214844,36.60001259570378,35.75901759804883,36.51591332407216,2848918
2011-07-12,36.39817428588867,36.66729241769655,35.843117711283895,36.229975738676096,2954427
2011-07-13,37.07096862792969,37.44100634586201,36.39817443629916,36.43181505841621,3819442
2011-07-14,36.700923919677734,37.104599876408685,36.431805854744354,36.835481811475304,10479376
2011-07-15,37.08778762817383,37.74376148556138,36.44863408125031,36.44863408125031,8242815
2011-07-18,36.785030364990234,37.306444008661906,36.68411078574005,37.15506578045598,2085379
2011-07-19,36.953243255615234,37.12144185924619,36.53274674653784,36.566385098460295,2972184
2011-07-20,36.71774673461914,37.15506336201228,36.61682944327641,36.885945261975074,4177419
2011-07-21,36.330894470214844,36.83549010000456,36.044956034131836,36.667291556741326,3008285
2011-07-22,36.85231399536133,37.0541508981074,36.11224078928113,36.33089800425745,3369044
2011-07-25,36.499088287353516,36.835485330321255,36.09541229205992,36.8018447134891,7429567
2011-07-26,36.66728973388672,36.953228155754765,36.07859486173139,36.33089266408367,5770592
2011-07-27,36.044960021972656,36.71775426946033,35.826302804074764,36.54955570758841,7214188
2011-07-28,35.506717681884766,35.99449525355274,34.86756416784473,35.691736524792766,13905358
2011-07-29,35.35533905029297,36.21315201654205,34.43024712776404,34.985303650084546,9768024
2011-08-01,36.145870208740234,36.56636650398982,35.355336261135655,35.355336261135655,4672455
2011-08-02,36.314064025878906,36.431803885842385,35.91038809096401,36.12904522365263,3239197
2011-08-03,35.2039680480957,36.21315944327798,34.68255203765038,35.84312168584219,12800281
2011-08-04,35.153507232666016,35.96085938670983,34.91802742984257,35.523542686044884,6939466
2011-08-05,34.41342544555664,34.88438268340552,33.69017270205746,33.807912581854296,12075758
2011-08-08,34.463890075683594,34.93484508280876,33.10148142325464,33.15194007353993,13716718
2011-08-09,34.27888107299805,34.88439645711988,33.303327875985275,33.303327875985275,7228990
2011-08-10,34.83393096923828,35.11986944931241,34.32933526181743,34.497533830957714,5126905
2011-08-11,34.64890670776367,35.069403037647284,34.41342693795798,34.430247247421036,6299073
2011-08-12,34.85074996948242,35.18714709508985,34.64891306292137,34.901210907126945,6421148
2011-08-16,34.85074996948242,35.28806668903988,34.682551406678705,35.00212821973796,4242848
2011-08-17,34.699363708496094,35.220779589080806,34.54798549318788,34.54798549318788,7430913
2011-08-18,34.53116989135742,34.934845947649286,34.19477279755773,34.81710833362267,5110388
2011-08-19,33.9929313659668,34.497526973077385,33.48833575885621,33.639716266060304,5245806
2011-08-22,34.7161865234375,34.85074443979487,33.555617080504554,33.976113420794654,3059716
2011-08-23,34.04338836669922,35.1198584147039,33.97610941644987,34.76664107422186,2837432
2011-08-24,34.32933044433594,34.56481023315842,33.74063553495729,34.44707033874718,6888368
2011-08-25,33.538787841796875,34.480699849554895,33.303308128853836,34.329319382280644,13758009
2011-08-26,32.78190994262695,33.639723105385514,32.495971461261064,33.538803507177605,9286925
2011-08-29,33.62289810180664,33.690177064113605,32.630524852758406,32.697806096404165,6345123
2011-08-30,33.707000732421875,34.00975723362878,33.38742163728911,33.97611888979414,3821904
2011-09-02,33.42106246948242,35.32170761410922,33.08466534101811,34.71619232660565,8166250
2011-09-05,32.68098449707031,33.47151626535397,32.52960626751291,33.35377865629319,7422597
2011-09-06,32.493560791015625,33.02177317820923,32.11869979079434,33.02177317820923,14848826
2011-09-07,32.98768615722656,33.31142841013251,32.57874845297302,32.61282755794187,11526455
2011-09-08,32.7832145690918,33.328464006347616,32.49354914446503,33.26030811557492,7049237
2011-09-09,32.74913787841797,33.03880332436335,32.5276306393358,32.74913787841797,6782680
2011-09-12,32.152774810791016,32.61283122421653,31.863109319215727,32.39132163916637,5271294
2011-09-13,32.23796463012695,32.49355096817511,32.11869008127473,32.323160076143004,4033213
2011-09-14,32.35725021362305,32.49356204930477,31.88015416658666,32.39132701700589,4248247
2011-09-15,32.71506118774414,32.8513753004494,31.999420762571265,32.44243758448281,8283475
2011-09-16,33.95892333984375,34.16339339635591,32.62987259466487,32.85138220773222,6853575
2011-09-19,33.37959289550781,34.16339165747649,33.24327876107959,33.532944274548974,3721222
2011-09-20,33.669254302978516,34.04411526382842,33.31143289690812,33.31143289690812,4399666
2011-09-21,33.822593688964844,33.97594731656546,33.44773517201916,33.498851507170016,2182138
2011-09-22,32.800262451171875,33.54998442615638,32.612834268500755,33.53294487016582,3792171
2011-09-23,32.73210144042969,33.124001922876026,32.27204736678569,32.54467097587489,3612112
2011-09-26,32.45946502685547,32.868404930437535,32.22091829048186,32.73209085888555,1880644
2011-09-27,32.93656539916992,33.15807261857414,32.56170453902132,32.86840950943587,1273121
2011-09-28,33.17512130737305,33.260316770777564,32.680988081841825,32.98769082566814,4398260
2011-09-29,33.209190368652344,33.72036299440766,32.7661736307829,32.987680844180545,9460952
2011-09-30,33.549983978271484,33.77149126996665,33.05584841651694,33.05584841651694,6946805
2011-10-03,33.17512130737305,33.44774725248247,32.783223100142216,33.37959134397383,7517061
2011-10-04,32.663944244384766,33.413663761834,32.5787487921502,32.98768650066119,2740436
2011-10-05,32.680992126464844,33.072890382197286,32.544677981502375,32.73210848640381,3503641
2011-10-07,33.14104080200195,33.68629266926008,32.88545442255123,33.02176854490314,4435678
2011-10-10,33.413658142089844,33.53293267958762,32.919525064451065,32.919525064451065,8326437
2011-10-11,33.63517379760742,33.75444604576949,33.226233772267214,33.567015586001,5044978
2011-10-12,33.771488189697266,34.01003501539786,33.430706349817925,33.97595821805478,4905765
2011-10-13,33.856689453125,34.04411995940151,33.49886799770169,33.771493978551604,3531871
2011-10-14,33.70332336425781,34.09522145197223,33.584048827436476,33.65220471515975,5039179
2011-10-17,33.34550857543945,33.80556495177538,33.158078114299826,33.669250838639925,1605713
2011-10-18,33.44773864746094,33.635169080946056,33.055838229978555,33.055838229978555,2025955
2011-10-19,34.0611457824707,34.24857621317193,33.54997314114421,33.737401260771215,5145909
2011-10-20,33.737403869628906,34.044108864786324,33.6351711823175,33.77148297278231,2881549
2011-10-21,33.737403869628906,34.11226476001873,33.48181752920159,33.6522084228198,2127672
2011-10-24,34.333778381347656,34.50416929517917,34.11226880672189,34.16338746751615,3334756
2011-10-25,35.40723419189453,35.69689962057086,34.282653889663415,34.35080978138894,7605862
