Price,Date,Close,High,Low,Open,Volume
Ticker,,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
0,2007-10-05,32.38557434082031,35.2507003581886,26.76799662291043,28.908793360303974,855215656
1,2007-10-08,30.72766876220703,33.48012071257007,30.534513396740614,33.48012071257007,126671715
2,2007-10-09,32.82017517089844,33.10990603070133,29.085854182395227,30.743762670622203,116725709
3,2007-10-10,33.12601089477539,33.80205264632212,32.8362799630773,33.67328164530978,67931378
4,2007-10-11,36.828125,38.630900838195814,32.83626702237896,38.630900838195814,106320954
5,2007-10-12,36.58668518066406,37.95486273117044,35.73358711068223,36.05551124021314,99410791
6,2007-10-15,37.0695686340332,37.56855361773639,36.747644528305386,37.34320499717687,41814972
7,2007-10-16,40.85218048095703,41.49603311559861,36.860322090982606,37.11785965173882,138614496
8,2007-10-17,44.03921890258789,45.069373184518156,34.15614719664163,36.69934835776089,204876259
9,2007-10-18,42.493988037109375,48.11156507806141,40.6751178265235,44.747456636582996,146617799
10,2007-10-19,42.34912872314453,44.07142361339064,40.24052314796228,41.52821960924905,110266491
11,2007-10-22,41.78575897216797,43.08954981313224,40.40148274090807,41.49602815932869,72253405
12,2007-10-23,44.76355743408203,45.16596255887084,42.81591401027917,42.81591401027917,74594921
13,2007-10-24,44.07142639160156,46.1961265599384,43.57244136157235,45.713235990139744,63055170
14,2007-10-25,43.97484588623047,45.00500485164343,38.84015425191117,42.5744750435638,34522489
15,2007-10-26,45.29473114013672,46.01906036179189,43.540243056688624,44.74745842611391,62370025
16,2007-10-29,46.21221923828125,47.322859209879695,45.80981408427824,46.03516271707007,43657697
17,2007-10-30,47.24238204956055,48.513979820564494,45.45570039958244,46.839976862589225,79921711
18,2007-10-31,48.22425842285156,49.286610944759616,47.32287237369617,47.48383448007225,44655368
19,2007-11-01,47.145790100097656,49.785569196531746,46.759483839451555,49.415357392688755,50632492
20,2007-11-02,47.9989013671875,48.28863660130121,45.0693906681138,45.43960694139779,32001693
21,2007-11-05,48.98076248168945,50.05920905563524,47.67696729836697,47.96670247224413,38833135
22,2007-11-06,49.62460708618164,52.763366735148516,48.94856567312924,49.833856856171174,81880281
23,2007-11-07,48.90028381347656,51.25032803525878,47.8057427288982,50.54209762353167,33593141
24,2007-11-08,48.063270568847656,49.367065551873225,47.00092298241875,47.644771063011845,27990521
25,2007-11-12,49.22221374511719,50.09141067873099,45.34302519784152,46.61462731065141,35153735
26,2007-11-13,50.39723205566406,51.41129215469643,48.46568734650706,50.05921347811171,43830531
27,2007-11-14,49.73729705810547,51.990766234240375,49.47975510386447,51.28253131804759,36738579
28,2007-11-15,50.57429504394531,51.45958640579601,49.624617109228,50.670870536869735,29242252
29,2007-11-16,50.220184326171875,51.363013399211226,49.64071819218804,50.348953122709595,18895294
30,2007-11-19,52.0390510559082,53.922308206052065,50.9767031078146,51.36300946785967,40716718
31,2007-11-20,51.23423767089844,53.278456775879775,50.60648386894239,51.829798186481646,26342171
32,2007-11-21,47.24238204956055,51.8458956419622,46.099548698736555,51.54007031968943,26814499
33,2007-11-22,45.61665725708008,48.64274741010353,43.63682483689468,46.74339165173236,34096185
34,2007-11-23,48.642757415771484,48.93248830357522,45.906397528094054,48.610564124598596,27664090
35,2007-11-26,49.029056549072266,50.445521853502896,48.64275021134144,50.445521853502896,20159123
36,2007-11-27,47.82184600830078,49.86606532697377,47.322865299675314,49.86606532697377,20573198
37,2007-11-28,47.11360168457031,49.09343839450024,46.79167758427277,48.868089777741936,16435311
38,2007-11-29,45.84201431274414,48.546176483920384,45.246453721345695,48.28863889290399,25530967
39,2007-11-30,47.61260223388672,47.90233314565016,46.03517449972889,46.67902291092608,18437721
40,2007-12-03,48.288631439208984,48.884191938678406,47.82183971537137,48.1920515827036,16851227
41,2007-12-04,47.6608772277832,49.01296027575765,47.306759823182716,48.61055512652422,14008727
42,2007-12-05,49.56024169921875,49.73730263129506,47.644795304699095,47.74137081937601,27725290
43,2007-12-06,48.642757415771484,51.39520739947117,48.01500352021662,50.63868470560087,24104710
44,2007-12-07,48.4334831237793,49.64069829437952,47.564290820771724,48.94856246984359,11742386
45,2007-12-10,48.48179244995117,49.07734865262381,47.854038591639736,48.90029211124154,8330010
46,2007-12-11,48.256446838378906,49.19002608769424,48.01500370322618,48.916389661245915,11685950
47,2007-12-12,48.22425842285156,48.65885698334229,47.32287237369617,47.64479658644832,16342131
48,2007-12-13,47.41943359375,48.9324786840443,47.242377076670465,48.28863045266379,14620172
49,2007-12-14,46.95265197753906,47.69308022269544,46.71120883884428,47.2584816997696,10991851
50,2007-12-17,44.11971664428711,47.4838257990707,43.4597695089709,47.22628385612689,19355678
51,2007-12-18,43.92656326293945,45.391316482791034,42.558385547069484,43.62073355637107,21607783
52,2007-12-19,43.12174987792969,45.72933633634023,42.75153798294486,45.34302561421434,19526912
53,2007-12-20,42.68716049194336,44.0392439407628,42.49400508977249,43.68512643117898,17105204
54,2007-12-24,43.990943908691406,44.68307990419135,42.97687942180443,43.33099683259231,16711519
55,2007-12-26,45.32693099975586,45.87420379318257,44.23238977927809,44.23238977927809,20930094
56,2007-12-27,45.64885330200195,46.90435654440217,45.262542596782424,46.26050827995329,44565277
57,2007-12-28,46.00297164916992,46.19612700567801,45.069388153776785,45.552274361859205,18354518
58,2007-12-31,46.341007232666016,46.61464372414469,45.77763978342405,46.357106065327805,11982308
59,2008-01-01,47.19409942626953,47.628697988885406,46.14784572970894,46.582444292324816,16687746
60,2008-01-02,46.936546325683594,47.548201257956606,46.244410366364775,47.19408386568007,13437280
61,2008-01-03,48.86808395385742,49.06123926429155,46.083441691420184,46.646808799801256,31815218
62,2008-01-04,48.61055374145508,50.22017429252559,48.28862963124098,49.57632607209739,28011310
63,2008-01-07,48.20816421508789,49.31880013516213,47.693084598670445,48.30473973287639,15858063
64,2008-01-08,46.56633758544922,48.93248081194273,46.00297035849245,48.25643926631952,13282666
65,2008-01-09,45.825904846191406,46.82387042086799,45.71323053888719,46.614620630945886,13113527
66,2008-01-10,44.73137283325195,47.32286495972949,44.42554313250042,46.035168310461415,18023003
67,2008-01-11,45.40741729736328,45.84201581704376,43.62073546453823,45.34303071430833,11629440
68,2008-01-14,46.099544525146484,46.58243070579431,44.76356029862923,45.487889569600966,10264240
69,2008-01-15,44.69916915893555,47.03311879349516,44.32895733155624,46.83996783407979,11558334
70,2008-01-16,43.781707763671875,44.7474805364127,42.67107169484624,44.377268513470824,14834065
71,2008-01-17,44.95671081542969,45.95467635485359,43.00906747618508,43.94264645188814,16169395
72,2008-01-18,42.86420440673828,44.634786885107694,42.49398821361568,44.58649477896135,13254156
